,carID,brand,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,car_age
0,69512,vw,golf,22290,semi-auto,28421,petrol,,11.4,2.0,63,4,0.0,4
1,53000,toyota,yaris,13790,manual,4589,petrol,145.0,47.9,1.5,50,1,0.0,1
2,6366,audi,q2,24990,semi-auto,3624,petrol,145.0,40.9,1.5,56,4,0.0,1
3,29021,ford,fiesta,12500,manual,9102,petrol,145.0,65.7,1.0,50,,0.0,2
4,10062,bmw,2 series,22995,manual,1000,petrol,145.0,42.8,1.5,97,3,0.0,1
5,14704,bmw,3 series,8199,manual,101153,diesel,30.0,65.7,2.0,74,0,0.0,6
6,6924,audi,a3,16089,manual,21396,petrol,20.0,60.1,1.4,75,4,0.0,3
7,50783,skoda,octavia,7500,manual,116750,diesel,145.0,68.9,1.6,59,4,0.0,3
8,67071,vw,passat,15999,semi-auto,30339,diesel,150.0,62.8,2.0,85,4,0.0,3
9,23348,ford,focus,15300,manual,10700,petrol,150.0,60.1,1.0,35,1,0.0,1
10,58447,opel,insignia,11998,manual,21123,diesel,145.0,65.7,1.6,68,4,0.0,2
11,46005,mercedes,a class,24109,semi-auto,1000,diesel,145.0,67.3,1.5,45,1,0.0,0
12,820,audi,q3,17799,automatic,26360,petrol,145.0,47.9,1.4,30,4,0.0,3
13,48622,skoda,fabia,13295,automatic,14378,petrol,145.0,60.1,,59,1,0.0,1
14,65892,vw,golf,13990,manual,9500,petrol,150.0,54.3,1.4,69,2,0.0,3
15,40257,mercedes,a class,19491,automatic,7057,diesel,145.0,68.9,1.5,74,3,0.0,1
16,18965,ford,ka+,6990,manual,15472,petrol,145.0,57.7,1.2,53,4,0.0,2
17,7969,bmw,3 series,19995,semi-auto,9981,diesel,150.0,62.8,2.0,57,0,0.0,3
18,20142,ford,focus,18997,manual,20112,petrol,,,2.0,40,4,0.0,3
19,38898,mercedes,glc class,28995,automatic,30808,diesel,150.0,56.5,,60,1,0.0,3
20,34015,hyundai,i30,7500,manual,51236,diesel,20.0,72.4,1.6,94,4,0.0,4
21,39796,mercedes,c class,31299,semi-auto,1000,diesel,,,2.0,33,4,0.0,1
22,73943,vw,polo,8995,manual,29925,petrol,20.0,60.1,1.0,51,4,0.0,4
23,37829,mercedes,e class,45995,automatic,922,diesel,145.0,47.1,3.0,50,1,0.0,1
24,68197,vw,golf,12299,automatic,64739,petrol,160.0,44.1,2.0,47,4,0.0,7
25,35317,mercedes,c class,26176,,9463,petrol,,,1.5,87,1,0.0,1
26,35263,mercedes,c class,11295,automatic,45000,petrol,,46.3,1.6,59,,0.0,
27,4145,audi,q5,57895,automatic,1255,diesel,145.0,32.5,3.0,61,1,0.0,1
28,67486,vw,up!,6750,manual,42000,petrol,20.0,60.1,1.0,83,4,0.0,3
29,21765,ford,fiesta,17990,automatic,7295,petrol,145.0,48.7,1.0,95,1,0.0,1
30,55065,toyota,c hr,15490,automatic,59000,hybrid,0.0,74.3,1.8,95,2,0.0,3
31,63711,opel,mokka x,10650,semi-auto,23000,petrol,150.0,43.5,1.4,46,2,0.0,3
32,35376,mercedes,c class,16998,,43883,diesel,125.0,60.1,2.1,54,0,0.0,5
33,27974,ford,fiesta,6800,,40160,petrol,125.0,54.3,1.2,59,4,0.0,5
34,35004,mercedes,c class,21499,automatic,26741,diesel,,,2.1,80,1,0.0,4
