,Preprocessor,Model,Mean_MAE,Std_MAE
0,A,RF,1358.1997651288934,16.042935493752925
1,A,RF_baseline,1365.0970249292282,16.432104904963886
2,A,LR_baseline,2441.015178007564,28.35566004796041
3,A,NN_baseline,1794.6998610655926,19.519327197907135
4,A,DT_baseline,1701.689098018635,8.895017136883842
5,A,Ridge_baseline,2443.3726571381003,27.239209813978697
6,B,RF,1410.9308295047576,17.070866519510794
7,B,RF_baseline,1417.3433037132686,17.300046089745763
8,B,LR_baseline,2890.685388673398,29.50644389882618
9,B,NN_baseline,2237.387632992049,26.530886435390517
10,B,DT_baseline,1791.0899811993727,24.391917544684116
11,B,Ridge_baseline,2890.5473386852063,29.5032802319543
12,C,RF,1372.7957167963327,12.702291910880167
13,C,RF_baseline,1378.9231053615717,13.658621420896768
14,C,LR_baseline,2870.509046202548,24.7518539441135
15,C,NN_baseline,2236.0758030453226,22.034473618095937
16,C,DT_baseline,1691.2327881045608,19.386585406642546
17,C,Ridge_baseline,2870.3340420678155,24.79038495028793
18,D,RF,1374.9101783924862,14.602317576084522
19,D,RF_baseline,1383.914606895117,14.944712469878754
20,D,LR_baseline,2849.9341404108236,27.21163810912543
21,D,NN_baseline,2193.930860415037,21.125599656949724
22,D,DT_baseline,1717.5165252242089,30.320113471898225
23,D,Ridge_baseline,2849.577834797566,27.242970650242356
