mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__activation,param_nn__alpha,param_nn__batch_size,param_nn__hidden_layer_sizes,param_nn__learning_rate_init,param_nn__max_iter,param_nn__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1720.8604314804077,162.1818010936365,0.9694978713989257,0.31044947269089657,relu,0.0002,35,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1568.528219832393,-1570.425776624779,-1573.931406768226,-1543.3740101042836,-1548.3692656054957,-1560.9257357870356,12.513385114445754,1
1710.6433259487153,158.29294359713654,1.1913134574890136,0.5089365214734537,relu,0.0002,35,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1568.528219832393,-1570.425776624779,-1573.931406768226,-1543.3740101042836,-1548.3692656054957,-1560.9257357870356,12.513385114445754,1
983.007745218277,241.34673791103194,0.7820475101470947,0.04077619178103722,relu,5e-05,32,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1557.752884883678,-1586.4650428377686,-1563.2304982272678,-1572.9392943758717,-1527.2217717473359,-1561.5218984143844,19.72886641425702,3
1025.7409015655517,273.93066776426264,0.7986226558685303,0.05251265570147131,relu,5e-05,32,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1557.752884883678,-1586.4650428377686,-1563.2304982272678,-1572.9392943758717,-1527.2217717473359,-1561.5218984143844,19.72886641425702,3
1192.0423148632049,147.6712618529997,1.083340311050415,0.2957317052766273,relu,0.0002,32,"(160, 120, 60)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1547.5395774537647,-1593.0384985482003,-1562.4764957364591,-1543.3455574815612,-1574.492630281485,-1564.1785519002942,18.182644778147143,5
1193.50341629982,156.7982747167788,0.8578531742095947,0.09509080269822137,relu,0.0002,32,"(160, 120, 60)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1547.5395774537647,-1593.0384985482003,-1562.4764957364591,-1543.3455574815612,-1574.492630281485,-1564.1785519002942,18.182644778147143,5
1236.1083597660065,132.88641036646237,1.0075981616973877,0.119453999367471,relu,5e-05,35,"(160, 120, 60)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1557.3830045054135,-1560.9138828266712,-1581.1656518867314,-1553.8673647609137,-1573.259662522626,-1565.3179133004712,10.273222696533399,7
1216.1927203178407,142.44318336069637,0.789960527420044,0.10377417110573581,relu,5e-05,35,"(160, 120, 60)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1557.3830045054135,-1560.9138828266712,-1581.1656518867314,-1553.8673647609137,-1573.259662522626,-1565.3179133004712,10.273222696533399,7
1512.2676484584808,227.13818494773534,1.0011502265930177,0.08684892119305322,relu,5e-05,35,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1555.0253228109318,-1565.2333488561258,-1617.0198533859418,-1525.3157693169148,-1570.8231833599837,-1566.6834955459797,29.665436541858934,9
1521.111841917038,228.64310998890736,0.9832217693328857,0.06419508707575686,relu,5e-05,35,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1555.0253228109318,-1565.2333488561258,-1617.0198533859418,-1525.3157693169148,-1570.8231833599837,-1566.6834955459797,29.665436541858934,9
1816.9020970344543,236.8228975316997,1.140662956237793,0.1463457217633469,relu,5e-05,32,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1593.7093853110673,-1579.226439776688,-1563.0072652031156,-1562.7917632915455,-1546.749461199329,-1569.096862956349,16.028901591123493,11
1805.3842372894287,262.814565671979,1.0430397033691405,0.2370893566338181,relu,5e-05,32,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1593.7093853110673,-1579.226439776688,-1563.0072652031156,-1562.7917632915455,-1546.749461199329,-1569.096862956349,16.028901591123493,11
